Company,Source,RepVue Score,Last Checked,Currently Open,Notes
Casetext,repvue,91.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Boostlingo,repvue,91.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Lightico,repvue,91.68,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Braintrust.dev,repvue,91.68,2026-06-30,Y,top-260 RepVue scan: open AE role
Skydio,repvue,91.66,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
HockeyStack,repvue,91.65,2026-07-02,Y,top-260 RepVue scan: open AE role
Regie.ai,repvue,91.65,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Hearsay Systems,repvue,91.61,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
iManage,repvue,91.61,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Workshop,repvue,91.60,2026-07-02,Y,top-260 RepVue scan: open AE role
IntelAgree,repvue,91.57,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
AtriCure,repvue,91.56,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Windsurf,repvue,91.55,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Phillips 66,repvue,91.52,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Big Think Capital,repvue,91.51,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
EliseAI,repvue,91.45,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Owl Labs,repvue,91.43,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Feathr,repvue,91.41,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Go Sales,repvue,91.41,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Kiavi,repvue,91.40,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Convoy,repvue,91.37,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Capitol Canary,repvue,91.36,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Oscilar,repvue,91.34,2026-06-30,Y,top-260 RepVue scan: open AE role
Savvas,repvue,91.34,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Squeeze Media,repvue,91.31,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Wrapbook,repvue,91.31,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Booster Enterprises,repvue,91.30,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Orama Solutions,repvue,91.30,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Saepio Information Security,repvue,91.29,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SEWELL,repvue,91.27,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Field Materials,repvue,91.26,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rebuy Engine,repvue,91.24,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
BrandBastion,repvue,91.18,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Trucker Tools,repvue,91.18,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Scribe,repvue,91.16,2026-07-02,Y,top-260 RepVue scan: open AE role
Descope,repvue,91.16,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Jellyfish Co,repvue,91.15,2026-06-30,Y,top-260 RepVue scan: open AE role
Prompt Health,repvue,91.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Access Systems,repvue,91.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Packsize,repvue,91.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Influ2,repvue,91.11,2026-07-02,Y,top-260 RepVue scan: open AE role
Dow,repvue,91.09,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Sitemate,repvue,91.07,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Giatec,repvue,91.05,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Armory,repvue,91.04,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Alkira,repvue,91.03,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cognition,repvue,90.99,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
BUCHI Laboratory Equipment,repvue,90.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Swiftly,repvue,90.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
"Applied Medical Technology, Inc. (AMT)",repvue,90.96,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Savant Labs,repvue,90.96,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
M-Files,repvue,90.95,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
DemandJump,repvue,90.94,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Salesforce Maps,repvue,90.93,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Outbuild,repvue,90.91,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Kallidus,repvue,90.91,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Ideals,repvue,90.85,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Inky,repvue,90.80,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cisco Meraki,repvue,90.79,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
RudderStack,repvue,90.78,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Tailscale,repvue,90.74,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Consensus,repvue,90.71,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
RevenueCat,repvue,90.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Reddit,repvue,90.68,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Proliant,repvue,90.66,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cyberhaven,repvue,90.66,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Masergy,repvue,90.65,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rhino,repvue,90.65,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Fox Pest Control,repvue,90.64,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Plaid,repvue,90.63,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Kuebix By FreightWise,repvue,90.62,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Loop Returns,repvue,90.61,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ZenQMS,repvue,90.59,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Brainshark,repvue,90.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Ketch,repvue,90.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Pulley,repvue,90.56,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Verusen,repvue,90.51,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Cycle Labs,repvue,90.50,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
AirGarage,repvue,90.46,2026-07-02,N,dropped 2026-07-02: no sales roles at all
Tive Inc,repvue,90.44,2026-06-30,Y,top500 RepVue scan: open AE role
Azuga Inc,repvue,90.43,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Cyera,repvue,90.39,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Strive,repvue,90.38,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Armis Security,repvue,90.38,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Sprig,repvue,90.37,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Endpoint Protector,repvue,90.35,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Flash,repvue,90.33,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Leadium,repvue,90.33,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Steno,repvue,90.31,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Fairway Independent Mortgage Corp,repvue,90.31,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Verinext,repvue,90.31,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Returnly,repvue,90.30,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
FireHydrant,repvue,90.30,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
TestMu AI,repvue,90.23,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Dscout,repvue,90.21,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Hoxhunt,repvue,90.20,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
quantilope,repvue,90.18,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
HCSS,repvue,90.14,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
LinearB,repvue,90.14,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Veterans United Home Loans,repvue,90.13,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Warmly,repvue,90.12,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Garner Health,repvue,90.11,2026-07-02,Y,top500 RepVue scan: open AE role
Toro TMS,repvue,90.10,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Basware,repvue,90.08,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Jasper,repvue,90.00,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Google,repvue,89.94,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Anduin Transactions,repvue,89.93,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Mews,repvue,89.93,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
General Assembly,repvue,89.92,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Unum Group,repvue,89.91,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Xe.com,repvue,89.89,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Insider One,repvue,89.89,2026-06-30,Y,top500 RepVue scan: open AE role
Raymond James Financial,repvue,89.84,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Pocus,repvue,89.83,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Ritten,repvue,89.82,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Winning by Design,repvue,89.81,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Persona,repvue,89.81,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Middesk,repvue,89.79,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Capital Group,repvue,89.79,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Insulet corporation,repvue,89.76,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Quantum,repvue,89.76,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Homebot,repvue,89.76,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Pythian,repvue,89.74,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Hach,repvue,89.72,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Procter & Gamble,repvue,89.69,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Bennie,repvue,89.65,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
OnRamp,repvue,89.58,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Buyers Edge Platform,repvue,89.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Torq,repvue,89.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Horizon3.ai,repvue,89.56,2026-07-02,Y,top500 RepVue scan: open AE role
OneSignal,repvue,89.56,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Reply.io,repvue,89.55,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
NEC Corporation of America,repvue,89.53,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Mudflap,repvue,89.53,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
NeuraFlash,repvue,89.52,2026-07-02,Y,top500 RepVue scan: open AE role
Intercontinental Exchange (ICE),repvue,89.51,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Enjoy Technology Inc,repvue,89.50,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Postscript.io,repvue,89.49,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Axos Bank,repvue,89.49,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Medius,repvue,89.48,2026-07-04,N,posting HTTP-dead
Sprinto,repvue,89.48,2026-07-02,Y,top500 RepVue scan: open AE role
AMD,repvue,89.47,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Prisma SD-WAN,repvue,89.47,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
CobbleStone Software,repvue,89.46,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Stedi,repvue,89.46,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
CompStak,repvue,89.44,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Air Liquide,repvue,89.43,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Alliant Insurance Services,repvue,89.43,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
GreyCastle Security,repvue,89.39,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ActionIQ,repvue,89.39,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
XenTegra,repvue,89.38,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Natera,repvue,89.38,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
aytm,repvue,89.37,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Spok,repvue,89.37,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Insurity,repvue,89.34,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ClockShark,repvue,89.34,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
TripleTen,repvue,89.33,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
CertifID,repvue,89.32,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Playground,repvue,89.31,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Goldman Sachs Group,repvue,89.31,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Kings III Emergency Communications,repvue,89.30,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Summize,repvue,89.27,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
LifeLoop,repvue,89.25,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
"Vizient, Inc",repvue,89.25,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Parker Hannifin,repvue,89.25,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Promoboxx,repvue,89.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Aftership,repvue,89.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
RevolutionParts,repvue,89.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Persefoni,repvue,89.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Brivity,repvue,89.23,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
FICO,repvue,89.23,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Sedna,repvue,89.23,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Fireblocks,repvue,89.22,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ThumbStopper,repvue,89.22,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Everpure,repvue,89.20,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
UserEvidence,repvue,89.20,2026-07-04,N,Workable URL redirects to company page; posting dead
Beazer Homes,repvue,89.18,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Frontify,repvue,89.17,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
SecurityScorecard,repvue,89.15,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Glia,repvue,89.15,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Traction on Demand (Salesforce),repvue,89.14,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Semperis,repvue,89.13,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
AppSumo,repvue,89.09,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
RCN Technologies,repvue,89.09,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Trella Health,repvue,89.08,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ClientSuccess,repvue,89.08,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Evolve Security,repvue,89.05,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Tekmetric,repvue,89.02,2026-07-02,Y,top500 RepVue scan: open AE role
FMX,repvue,89.01,2026-06-30,Y,top500 RepVue scan: open AE role
PerkSpot,repvue,89.01,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Ermetic,repvue,89.01,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Thousandeyes,repvue,88.95,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Machinio,repvue,88.94,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Orum,repvue,88.94,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Balto,repvue,88.93,2026-07-02,Y,top500 RepVue scan: open AE role
Dyson,repvue,88.90,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Groove,repvue,88.89,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Schneider Electric,repvue,88.89,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Doxel,repvue,88.88,2026-06-30,Y,top500 RepVue scan: open AE role
Sales Impact Academy,repvue,88.87,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
LiveVox,repvue,88.86,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Jotform,repvue,88.84,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Collective,repvue,88.83,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Airkit,repvue,88.81,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Metrohm USA,repvue,88.78,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Careerist,repvue,88.78,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
PocketHealth,repvue,88.78,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Tabnine,repvue,88.78,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Gatekeeper,repvue,88.78,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
"InfoSight, Inc.",repvue,88.77,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Docyt,repvue,88.76,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
WorkRamp,repvue,88.75,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Warner Bros. Discovery,repvue,88.74,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Woven Teams,repvue,88.74,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Snappy Kraken,repvue,88.71,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Fullcast,repvue,88.71,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Tenna,repvue,88.70,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
PetDesk,repvue,88.70,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Ordergroove,repvue,88.70,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
McAfee,repvue,88.69,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Merck,repvue,88.69,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Valid8 Financial,repvue,88.69,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Take Command Health,repvue,88.69,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
"Tecsys, Inc.",repvue,88.67,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Litmus,repvue,88.66,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
WebEx,repvue,88.64,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
SambaSafety,repvue,88.64,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Apple,repvue,88.64,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Cloudpermit,repvue,88.63,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
VEGA Americas,repvue,88.63,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Sherweb,repvue,88.62,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Panther,repvue,88.61,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Lockton,repvue,88.61,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Megaport,repvue,88.60,2026-06-30,Y,top500 RepVue scan: open AE role
Paperless Parts,repvue,88.60,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
eXp Realty,repvue,88.60,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Agilent Technologies,repvue,88.60,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Century Consulting Services,repvue,88.60,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Intuitive,repvue,88.59,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
SalesAi,repvue,88.59,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
airfocus,repvue,88.59,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Scotiabank,repvue,88.59,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
SiteZeus,repvue,88.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
GitHub,repvue,88.57,2026-07-04,N,posting HTTP-dead
Aquera,repvue,88.57,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
GRAPHISOFT,repvue,88.54,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Macabacus,repvue,88.54,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Nava Benefits,repvue,88.53,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Lexion,repvue,88.53,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ISI Enterprises,repvue,88.51,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Mailshake,repvue,88.49,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Kibo,repvue,88.48,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Boston Scientific,repvue,88.48,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Wiz,repvue,88.46,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Marqii,repvue,88.46,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Finch,repvue,88.44,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Chewy,repvue,88.44,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Ryan Homes,repvue,88.43,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
HSO,repvue,88.42,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Trifacta,repvue,88.42,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Buildium,repvue,88.41,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Anvilogic,repvue,88.40,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Noesis,repvue,88.40,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Cato Networks,repvue,88.38,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
ZOLL Data Systems,repvue,88.37,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Aligned,repvue,88.37,2026-07-02,Y,top500 RepVue scan: open AE role
Radar Labs,repvue,88.37,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Appspace,repvue,88.35,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Dooly,repvue,88.35,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Premium Merchant Funding,repvue,88.34,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Reachdesk,repvue,88.32,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Origin,repvue,88.32,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Panorays,repvue,88.32,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Casebook PBC,repvue,88.30,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Coca-Cola,repvue,88.29,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Nsight Health,repvue,88.28,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Workvivo,repvue,88.28,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Gong.io,repvue,88.28,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Augment Code,repvue,88.26,2026-07-02,N,dropped 2026-07-02: no AE on board (one generic eng req); prior AE listing likely different co (goaugment.com)
Global-e,repvue,88.26,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
CaptiveAire Systems,repvue,88.26,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Sensor Tower,repvue,88.25,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
PayJunction,repvue,88.25,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
AlphaSense,repvue,88.24,2026-06-30,Y,top500 RepVue scan: open AE role
Nozomi Networks,repvue,88.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Snowflake,repvue,88.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Air Charter Service,repvue,88.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Quilt Software,repvue,88.24,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Rheaply,repvue,88.23,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Flockjay,repvue,88.22,2026-07-02,Y,top500 RepVue scan: open AE role
Lightspeed DMS,repvue,88.19,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Grip Security,repvue,88.18,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Waites,repvue,88.18,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
RIB Software,repvue,88.17,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
AtoB,repvue,88.17,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Waterworth,repvue,88.16,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
AAPC,repvue,88.15,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
The Predictive Index,repvue,88.11,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
IntelyCare,repvue,88.11,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Corti,repvue,88.11,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
CodeHS,repvue,88.10,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
Luminovo,repvue,88.10,2026-06-30,N,top500 RepVue scan: no verified role / ATS unresolved
